"","ID","model","term","estimate","conf.low","conf.high","statistic","p.value"
"192","1","22","BECCS",1.2,0.99,1.45,1.83,0.07
"193","1","22","Biochar",2.07,1.84,2.34,11.84,0
"194","1","22","DAC",1.41,1.18,1.67,3.87,0
"195","1","22","EW",1.21,0.93,1.58,1.43,0.15
"196","1","22","General",1.38,1.26,1.52,6.73,0
"197","1","22","OF",0.59,0.45,0.78,-3.82,0
"198","1","22","SCS",1.25,1.1,1.43,3.3,0
"199","1","23","AR",1.03,0.92,1.16,0.53,0.6
"200","1","23","BC",2.1,1.7,2.61,6.82,0
"201","1","23","BECCS",1.23,1.02,1.49,2.12,0.03
"202","1","23","Biochar",2.12,1.88,2.39,12.27,0
"203","1","23","DAC",1.56,1.31,1.85,5.05,0
"204","1","23","EW",1.45,1.11,1.88,2.76,0.01
"205","1","23","General",1.35,1.23,1.48,6.26,0
"206","1","23","OF",0.72,0.55,0.94,-2.4,0.02
"207","1","23","SCS",1.24,1.09,1.42,3.17,0
"208","1","24","AR",1.06,0.94,1.19,0.98,0.33
"209","1","24","BC",2.12,1.72,2.63,6.93,0
"210","1","24","BECCS",1.16,0.95,1.4,1.48,0.14
"211","1","24","Biochar",2.21,1.95,2.49,12.73,0
"212","1","24","DAC",1.47,1.24,1.75,4.42,0
"213","1","24","EW",1.27,0.98,1.66,1.8,0.07
"214","1","24","General",1.38,1.25,1.52,6.65,0
"215","1","24","OF",0.54,0.41,0.71,-4.46,0
"216","1","24","SCS",1.31,1.15,1.5,3.94,0
"217","1","25","AR",1.03,0.91,1.16,0.46,0.64
"218","1","25","BC",1.99,1.6,2.47,6.25,0
"219","1","25","BECCS",1.2,0.99,1.46,1.86,0.06
"220","1","25","Biochar",2.14,1.9,2.42,12.2,0
"221","1","25","DAC",1.46,1.23,1.74,4.29,0
"222","1","25","EW",1.29,0.99,1.69,1.89,0.06
"223","1","25","General",1.41,1.28,1.55,7.03,0
"224","1","25","OF",0.7,0.53,0.92,-2.54,0.01
"225","1","25","SCS",1.28,1.12,1.47,3.55,0
"226","1","26","AR",1.03,0.92,1.16,0.52,0.6
"227","1","26","BC",2.2,1.77,2.72,7.19,0
"228","1","26","BECCS",1.2,0.99,1.45,1.86,0.06
"229","1","26","Biochar",2.08,1.84,2.34,11.82,0
"230","1","26","DAC",1.49,1.25,1.77,4.51,0
"231","1","26","EW",1.33,1.02,1.73,2.09,0.04
"232","1","26","General",1.36,1.23,1.49,6.28,0
"233","1","26","OF",0.69,0.53,0.91,-2.59,0.01
"234","1","26","SCS",1.26,1.1,1.44,3.36,0
"235","1","27","AR",1.01,0.9,1.14,0.15,0.88
"236","1","27","BC",1.98,1.59,2.46,6.16,0
"237","1","27","BECCS",1.11,0.92,1.35,1.07,0.29
"238","1","27","Biochar",2.09,1.85,2.36,11.72,0
"239","1","27","DAC",1.42,1.19,1.69,3.94,0
"240","1","27","EW",1.32,1.01,1.73,2,0.05
"241","1","27","General",1.36,1.24,1.5,6.27,0
"242","1","27","OF",0.76,0.58,1,-1.96,0.05
"243","1","27","SCS",1.25,1.09,1.44,3.25,0
"244","1","28","AR",1.02,0.91,1.15,0.36,0.72
"245","1","28","BC",2.01,1.62,2.49,6.43,0
"246","1","28","BECCS",1.2,0.99,1.45,1.84,0.07
"247","1","28","Biochar",2.08,1.85,2.35,11.87,0
"248","1","28","DAC",1.42,1.2,1.69,3.99,0
"249","1","28","EW",1.29,0.99,1.69,1.91,0.06
"250","1","28","General",1.37,1.24,1.5,6.47,0
"251","1","28","OF",0.69,0.53,0.9,-2.72,0.01
"252","1","28","SCS",1.25,1.09,1.43,3.19,0
"253","1","29","AR",1.03,0.91,1.16,0.47,0.64
"254","1","29","BC",2.09,1.68,2.6,6.65,0
"255","1","29","BECCS",1.12,0.92,1.36,1.15,0.25
"256","1","29","Biochar",2.07,1.82,2.34,11.43,0
"257","1","29","DAC",1.41,1.18,1.68,3.85,0
"258","1","29","EW",1.29,0.98,1.69,1.85,0.06
"259","1","29","General",1.36,1.23,1.5,6.21,0
"260","1","29","OF",0.61,0.46,0.8,-3.54,0
"261","1","29","SCS",1.23,1.08,1.42,3.01,0
"262","1","30","AR",1.01,0.9,1.13,0.14,0.89
"263","1","30","BC",2.05,1.66,2.53,6.72,0
"264","1","30","BECCS",1.17,0.97,1.42,1.66,0.1
"265","1","30","Biochar",2.02,1.79,2.28,11.56,0
"266","1","30","DAC",1.44,1.21,1.71,4.17,0
"267","1","30","EW",1.38,1.07,1.79,2.45,0.01
"268","1","30","General",1.33,1.21,1.46,5.95,0
"269","1","30","OF",0.73,0.56,0.95,-2.31,0.02
"270","1","30","SCS",1.21,1.06,1.38,2.79,0.01
"271","2","1","AR",0.12,0.02,0.89,-2.07,0.04
"272","2","1","BC",0,0,0,-0.01,0.99
"273","2","1","BECCS",1.02,0.35,2.96,0.04,0.97
"274","2","1","Biochar",2.92,1.63,5.26,3.58,0
"275","2","1","DAC",4.77,2.69,8.46,5.35,0
"276","2","1","EW",3.27,1.08,9.88,2.1,0.04
"277","2","1","General",1.19,0.66,2.17,0.58,0.56
"278","2","1","OF",1.68,0.29,9.52,0.58,0.56
"279","2","1","SCS",0.31,0.07,1.35,-1.56,0.12
"280","2","2","AR",0.11,0.01,0.81,-2.17,0.03
"281","2","2","BC",0,0,0,-0.01,0.99
"282","2","2","BECCS",0.81,0.28,2.34,-0.39,0.69
"283","2","2","Biochar",2.18,1.21,3.93,2.59,0.01
